name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Double Chocolate Milk Shake - Amul - 180ml,drinks,3.11 g,15.2 g,14.6 g,2.78 g,?,0.092 g,Nutri-Score E,Allergens: Milk
Nutella - 400 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,?,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Ginger Crystallized In Dark Chocolate - Chocolove - 3.2 g,chocolates,6.67 g,53.33 g,0 g,0 g,10 g,0 g,Green-Score A+,Allergens: Soybeans
Oreo - Cadbury - 43.75g g,chocolates,,+2%,+6%,-2%,,-43%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
"Manner - Chocolate Cream Filled Wafers, 2.5oz (72g)",chocolates,-41%,-0%,-4%,+65%,+17%,,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Cadbury Dairy Milk - Mondelez - 13.2 g,chocolates,5.6 g,64.2 g,61 g,0.1 g,0 g,0.231 g,Average impact of products of the same category: D (Score: 39/100),Allergens: Milk
KitKat - Nestlé - 38.5 g,chocolates,,,-17%,+30%,,,Average impact of products of the same category: C (Score: 53/100),"Allergens: Gluten, Milk, Nuts, Sesame seeds, Soybeans"
Dark Fantasy Choco Fills - Sunfeast - 300g,chocolates,5.3 g,64.3 g,31.7 g,0.1 g,?,0.416 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Hide & Seek - Parle - 100g,chocolates,5.9 g,73.4 g,32.5 g,9.4 g,?,0.285 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Hide & Seek - PARLE - 120g,chocolates,5.9 g,73.4 g,32.2 g,9.4 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten
5 star chocolate - 5star - 22g,chocolates,3.3 g,72.9 g,55.5 g,10.1 g,?,0.425 g,Nutri-Score E,Allergens: Gluten
Chocominis - Amul - 250g,chocolates,5.3 g,61.1 g,51 g,0.1 g,?,0.15 g,Nutri-Score E,Allergens: Milk
Tiger Krunch ChocoChips - Britannia - 63 g,chocolates,,,Not available,,,,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Kitkat - Nestlé - 18.5g,chocolates,,,Not available,,,,Ultra-processed foods,"Allergens: Milk, Soybeans"
Cadbury dairy milk - 12.5 g,chocolates,6.8 g,62.6 g,50.9 g,0 g,?,0.268 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Sulphur dioxide and sulphites"
Kitkat mini chocolate coated wafer,chocolates,6.4 g,47.4 g,35.1 g,24.8 g,-,0.244 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
HERSHEY’S CHOCOLATE SYRUP - 623 g,chocolates,1.27 g,66.6 g,63.7 g,0.5 g,0 g,0.182 g,Nutri-Score D,"Allergens: Gluten, Milk, Soybeans"
Hershey's syrup - 200g,chocolates,1.27 g,66.6 g,63.7 g,0.5 g,0 g,6 g,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans"
Muesli dark chocolate cranberry - Yoga bar,chocolates,12.3 g,67 g,6.7 g,4.9 g,9.4 g,0.226 g,Average impact of products of the same category: A (Score: 82/100),"Allergens: Gluten, Milk, Soybeans"
Dairy milk chocolate - Cadbury - 123g,chocolates,7.8 g,60.4 g,47.4 g,0.1 g,?,0.322 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Soybeans"
Nutella & Go! - 48 g,chocolates,7.4 g,62 g,42.3 g,9 g,?,0.686 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Dairy Milk Chocolate - Cadbury,chocolates,7.8 g,60.4 g,47.4 g,0.1 g,?,0.322 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Soybeans"
Fruit & Nut Silk - Dairy Milk,chocolates,7.8 g,58.1 g,37.7 g,0.1 g,?,0.26 g,Average impact of products of the same category: A (Score: 76/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Waffy - choco flavoured wafer roll - Dukes - 250 g,chocolates,-26%,+19%,+50%,-52%,,,Average impact of products of the same category: B (Score: 69/100),"Allergens: Gluten, Milk, Soybeans"
Munch - nestle - 8.9g,chocolates,-28%,-12%,+515%,+87%,,-84%,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Covins chocolate milkshake 200ml -  - 4,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Ultra-processed foods,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
7622202245558,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Hershey's cocoa powder - Hershey's Hershey's kitchens - 225 g,chocolates,19.6 g,57.9 g,0 g,0 g,33.2 g,0.01 g,Unprocessed or minimally processed foods,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Tiger Krunch ChocoChips - Britannia - 31.5g,chocolates,+14%,+10%,-9%,-22%,,+53%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Cadbury Bournvita Shakti 75g pp - 9,chocolates,,,,,,,Green-Score A,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Lotto Choco Pie 12p - Lotte - 336g,chocolates,-41%,+9%,-38%,-100%,,+143%,Nutri-Score E,"Allergens: Gluten, Milk"
Amul Sugar free chocolate - 150g,chocolates,6 g,57.3 g,Not available,20.4 g,0 g,95 g,Ultra-processed foods,"Allergens: Gluten, Milk"
99% Cacao Ultimate Dark Chocolate - Amul - 125 g,chocolates,14.7 g,28.4 g,1.2 g,23.1 g,-,0.15 g,Nutri-Score D,"Allergens: Gluten, Milk"
Snickers Chocolate Bar - Mars - 1 and 45g,chocolates,8.83 g,57.43 g,51.84 g,0.1 g,0 g,0.555 g,Ultra-processed foods,"Allergens: Milk, Nuts, Peanuts, Soybeans"
Amul Dark Chocolate - 40g,chocolates,-26%,+10%,+51%,-9%,,,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Nuts, Peanuts, Soybeans"
Brittania Gobbles Chocolate Cake - 110g,chocolates,6 g,56 g,29.5 g,10 g,0 g,0 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk"
chocolate cranberry museli - yoga bar - 700g,chocolates,12.3 g,67 g,6.75 g,3.5 g,9.5 g,0.226 g,Nutri-Score C,"Allergens: Nuts, Soybeans"
Dairy Milk Minis - Cadbury - 119 g,chocolates,7.8 g,60.4 g,47.4 g,0.1 g,?,0.322 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Nuts, Soybeans"
Myfitness Chocolate Peanut Butter - 510 g,chocolates,26 g,19 g,10 g,10 g,?,0.875 g,Average impact of products of the same category: C (Score: 55/100),Allergens: Peanuts
Dairy Milk Silk Oreo - Mondelez International - 60g,chocolates,6 g,56.9 g,42.7 g,0.2 g,?,0.518 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk"
PARLE hide&seek400g - 412.5,chocolates,-12%,+7%,+26%,+17%,,-53%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
8901725114404,chocolates,5.9 g,72.7 g,36.6 g,9.1 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Dark Chocolate Peanut Butter - Yoga Bar - 400g,chocolates,21 g,32.4 g,8.3 g,12.3 g,6.6 g,0.057 g,Nutri-Score C,"Allergens: Peanuts, Soybeans"
Dark Chocolate - Cadbury,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Peanuts, Soybeans"
Gobbless Choco Chill Cake - Britannia - 50 g,chocolates,6 g,56 g,28.7 g,10 g,?,?,Average impact of products of the same category: C (Score: 47/100),"Allergens: Peanuts, Soybeans"
Protinex Rich Chocolate Flavour 400g Jar - Danone - 6,chocolates,34 g,54.4 g,0 g,1.5 g,-,0.75 g,Nutri-Score D,"Allergens: Peanuts, Soybeans"
Barritas de platano y chocolate - Alteza,chocolates,5.8 g,69 g,29 g,6.4 g,?,0.4 g,Nutri-Score E,"Allergens: Peanuts, Soybeans"
Dark Chocolate - Amul - 150 g,chocolates,6 g,57 g,0.5 g,20 g,?,0.095 g,Nutri-Score D,"Allergens: Peanuts, Soybeans"
Horlicks chocolate delight flavour 500g pet,chocolates,7 g,81 g,Not available,1.9 g,5 g,0.872 g,Not available,"Allergens: Peanuts, Soybeans"
Original Oreo,chocolates,+3%,+2%,,,,+43%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Cadbury Dairy Milk Chocolate - 24g,chocolates,8.1 g,60.4 g,57.3 g,17.5 g,?,0.396 g,Average impact of products of the same category: D (Score: 39/100),Allergens: Milk
dark chocolate peanut butter - The Whole Truth - 325 g,chocolates,17.7 g,42 g,14 g,5.71 g,10 g,0.26 g,Nutri-Score A,Allergens: Peanuts
Original Oreo,chocolates,+3%,+2%,,,,+43%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Cadbury Hot Chocolate 200g tube - 7,chocolates,6.7 g,85.3 g,70.2 g,2 g,?,0.018 g,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Hershey's Cocoa - 70g,chocolates,?,?,Not available,?,?,?,Green-Score,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Twilight Tryst Single Origin Dark Chocolate - Amul - 125,chocolates,6.2 g,55.8 g,42 g,20.8 g,?,0.012 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Horlicks chocolate delight flavour 500g pet,chocolates,7 g,81 g,Not available,1.9 g,5 g,0.872 g,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Snickers - Mars - 12g,chocolates,7.2 g,61 g,50.3 g,0.11 g,?,0.578 g,Nutri-Score E,"Allergens: Milk, Peanuts"
8901058010428,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 56/100),"Allergens: Milk, Peanuts"
7622201761677,chocolates,,,Not available,,,,Not available,"Allergens: Milk, Peanuts"
Diary Milk Chocolate - Cadbury - 20 g,chocolates,5.6 g,64.2 g,61 g,18.7 g,?,0.231 g,Nutri-Score E,"Allergens: Milk, Peanuts"
Snickers - Mars - 22g,chocolates,7.63 g,60 g,55 g,0.1 g,?,0.572 g,Nutri-Score E,"Allergens: Milk, Peanuts, Soybeans"
Britannia Good day Chocolate Cookies 400g,chocolates,6.1 g,68 g,33.4 g,14.1 g,?,0.51 g,Average impact of products of the same category: C (Score: 53/100),Allergens: Gluten
Horlicks - chocolate delight flavour,chocolates,10 g,78 g,32 g,0 g,0 g,74 g,Nutri-Score E,Allergens: Gluten
The Whole Truth 71% Dark Chocolate - 80 g,chocolates,8.1 g,40.2 g,21.6 g,30.9 g,8.2 g,0.007 g,Processed foods,Allergens: Gluten
Chocolate Milk Shake - Epigamia - 180 ml,chocolates,+4%,+3%,-2%,-100%,,-97%,Average impact of products of the same category: C (Score: 49/100),Allergens: Milk
Dairy Milk Silk Fruit & Nut - Cadbury - 137g,chocolates,7.8 g,58.1 g,37.7 g,0.1 g,0 g,0.26 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Nuts"
Dairy Milk Chocolate - Mondelez - 36 g,chocolates,8 g,63.6 g,43 g,17.5 g,?,0.59 g,Nutri-Score E,"Allergens: Gluten, Milk"
Butterscotch Flavour - Snickers - 40 g,chocolates,9.9 g,56.3 g,44.8 g,0.1 g,?,0.5 g,Nutri-Score E,"Allergens: Milk, Peanuts, Soybeans"
Choco Classic Bar - Max Protein - 50 g,chocolates,10 g,26.8 g,7.9 g,0 g,4 g,0.348 g,Nutri-Score B,"Allergens: Milk, Nuts, Soybeans"
7622202031205,chocolates,,,Not available,,,,Average impact of products of the same category: B (Score: 74/100),"Allergens: Gluten, Milk"
Horlicks Women+ Chocolate Flv 400g pet - 5,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
nutties - cadbury - 30g,chocolates,5 g,67.2 g,57.4 g,13.9 g,?,0.292 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Nuts"
Galaxy Milk Chocolate with Cookie Crumble,chocolates,,,Not available,,,,Not available,"Allergens: Milk, Nuts"
cadbury,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Nuts"
Pintola peanut butter Dark Chocolate - 1kg,chocolates,18.6 g,36.4 g,15 g,11 g,5.2 g,0.038 g,Nutri-Score C,Allergens: Peanuts
Cadbury,chocolates,1.6 g,77.7 g,73.4 g,18 g,0 g,0.01 g,Nutri-Score E,"Allergens: Milk, Sulphur dioxide and sulphites"
CHOCOLATE,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Sulphur dioxide and sulphites"
Hide & Seek Caffé Mocha - Parle - 100g,chocolates,5.8 g,73.6 g,31.7 g,9.2 g,?,0.355 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
Galaxy Fusions -,chocolates,,,Not available,,,,Average impact of products of the same category: D (Score: 35/100),"Allergens: Gluten, Soybeans"
Cadbury Temptations Rum & Raisins - 72 g,chocolates,5.7 g,61.8 g,37.6 g,17 g,?,0.165 g,Average impact of products of the same category: D (Score: 39/100),Allergens: Milk
Mayora Malkist Chocolate Flavored Sandwich Cracker Biscuits,chocolates,7.6 g,66.4 g,21.3 g,14.2 g,16.8 g,1.318 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
8901058015171,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 53/100),"Allergens: Gluten, Milk, Soybeans"
High protein super oats chocolate - Alpino Health Foods - 1 kg,chocolates,22 g,52.2 g,6 g,2.8 g,11.3 g,0.025 g,Nutri-Score A,"Allergens: Nuts, Peanuts"
dark fantasy - Sunfeast - 20,chocolates,5.7 g,63.9 g,37.6 g,11.4 g,?,0.1 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Dairy Milk Chocolate - Cadbury,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Waffy Chocolate - Dukes - 60 g,chocolates,3.33 g,70 g,46.67 g,0 g,0 g,0.208 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
FRUIT N' NUT Dark Chocolate - Amul - 150g,chocolates,7.2 g,46.7 g,38.3 g,0 g,?,0.082 g,Average impact of products of the same category: D (Score: 35/100),Allergens: Nuts
Cadbury 5 Star - Mondelez - 40 g,chocolates,7.5 g,75 g,70 g,12.5 g,< 2.5 g,0.188 g,Nutri-Score E,Allergens: Milk
Britannia Treat Croissant Cocoa Crème - 45g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 65/100),Allergens: Milk
Oreo Strawberry Biscuit - 43.75,chocolates,5.2 g,71.5 g,38.3 g,0.1 g,0 g,1.05 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Britannia nutri choice 200g(sys),chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Chocolate Peanut butter smooth,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Milkybar Moosha - Nestle,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 76/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Munch - Nestle - 18 and 100g,chocolates,6 g,50 g,32.9 g,0.06 g,0 g,0.223 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Nuts, Sesame seeds, Soybeans"
Amul Chocolate Brownie - 1L / 540 g,chocolates,4.4 g,26.3 g,22.3 g,0.4 g,?,0.115 g,Nutri-Score D,"Allergens: Gluten, Milk"
0941458001846,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Choco Chip Cookies - the Baker's Dozen - 60 g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk"
Dairy Milk Silk Minis - Cadbury - 153 g,chocolates,7.6 g,58.5 g,45 g,0.1 g,?,0.312 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk"
Chocolate Magic Sundae - Amul - 1 l,chocolates,3.5 g,27.3 g,21.6 g,0.4 g,?,0.11 g,Nutri-Score E,Allergens: Milk
Kwality Choco Flakes,chocolates,,,,,,,Average impact of products of the same category: C (Score: 46/100),Allergens: Gluten
Amul Chocolate Brownie - 1L / 540 g,chocolates,4.4 g,26.3 g,22.3 g,0.4 g,?,0.115 g,Nutri-Score D,"Allergens: Gluten, Milk"
kitkat caramel chocolate coated wafer,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Gluten, Milk"
Cadbury Celebrations,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Munch - Nestle - 18 and 100g,chocolates,6 g,50 g,32.9 g,0.06 g,0 g,0.223 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Nuts, Sesame seeds, Soybeans"
dark fantasy - Sunfeast - 20,chocolates,5.7 g,63.9 g,37.6 g,11.4 g,?,0.1 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Milkybar Moosha - Nestle,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 76/100),"Allergens: Gluten, Milk"
Choco Chip Cookies - the Baker's Dozen - 60 g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk"
Oreo Strawberry Biscuit - 43.75,chocolates,5.2 g,71.5 g,38.3 g,0.1 g,0 g,1.05 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Britannia Treat Croissant Cocoa Crème - 45g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 65/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Hide & Seek Choco Rolls - Parle - 250g,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Parle,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 45/100),"Allergens: Gluten, Soybeans"
Dairy milk - Cadbury - 134g,chocolates,,,Not available,,,,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Soybeans"
Britannia winking cow chocolate 180ml,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Soybeans"
Fun Foods Chocolate Spread Fudge - Dr.Oetker - 350 g,chocolates,5.2 g,55.4 g,46.5 g,12.3 g,?,?,Ultra-processed foods,Allergens: Milk
Shots - Cadbury - 18 g,chocolates,2.1 g,76.2 g,61.5 g,0.2 g,?,0.25 g,Nutri-Score E,"Allergens: Milk, Sulphur dioxide and sulphites"
"Dr. Oetker, funfoods, chocolate spread - 425g",chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Sulphur dioxide and sulphites"
Hazelnut Chocolate ice cream - Kwality Walls,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Sulphur dioxide and sulphites"
Dark fantasy buy3 get1 - Sunfeast,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Sulphur dioxide and sulphites"
Milk shake chocolate flavour - Hershey's - 180 ml,chocolates,1.78 g,16.8 g,14.1 g,1.39 g,0 g,0.129 g,Green-Score C,Allergens: Milk
Ensure chocolate 400g - 400 g,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
treat burst - Britannia - 14g,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),Allergens: Milk
Protinex Chocolate Flavour,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
Dairy milk chocolate fruit and nut - Cadbury,chocolates,8.5 g,59 g,52.3 g,16.4 g,0 g,?,Not available,Allergens: Milk
"Magnum Chocolate Truffle - Unilever - 62 g, 80 ml",chocolates,2.5 g,17 g,14.1 g,0.1 g,1.6 g,0.089 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Sunfeast Dark Fantasy Chocolate Shake 300ml - 8,chocolates,3.1 g,17.3 g,12 g,2 g,?,0.238 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Milk
Chocobakes - Cadbury - 126 g,chocolates,3.9 g,63.7 g,41.1 g,0.1 g,?,?,Average impact of products of the same category: C (Score: 47/100),"Allergens: Gluten, Milk"
farmlite oats & chocolate Cookies - Sunfeast - 150 g,chocolates,11 g,63.6 g,25.3 g,0 g,4.6 g,0.622 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Moms magic Cashew & Almonds - Sunfeast - 197 gm,chocolates,7.9 g,67.2 g,22.7 g,0.06 g,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
COCOA POWDER,chocolates,+59%,-13%,-100%,+61%,,+50%,Green-Score,"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Amul Pro Chocolate 500g pp - 5,chocolates,8 g,75.8 g,36.4 g,1.5 g,?,0.5 g,Nutri-Score E,Allergens: Milk
8901058875577,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: D (Score: 39/100),Allergens: Milk
Dairy Milk - Cadbury - 23 g,chocolates,+15%,+4%,+18%,+15%,,+47%,Nutri-Score E,Allergens: Milk
dairy milk - cadbury - 12 gram,chocolates,-19%,+8%,+13%,+1%,,-12%,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Sulphur dioxide and sulphites"
Little Joys Nutrimix Chocolate Flavour,chocolates,26.5 g,59.1 g,44.1 g,0.735 g,3.35 g,?,Ultra-processed foods,"Allergens: Gluten, Milk, Nuts"
Winkies chocolate swiss roll,chocolates,6.75 g,59.41 g,28.91 g,4.21 g,?,0.259 g,Not available,"Allergens: Gluten, Milk, Nuts"
hot chocolate - Cadbury - 200g,chocolates,6.7 g,85.3 g,69.9 g,2 g,?,0.018 g,Processed foods,Allergens: Sulphur dioxide and sulphites
Chocolate Milkshake - Cavin's - 1 Liter,chocolates,3 g,17.6 g,33 g,3.6 g,8 g,234.25 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Milk
Munch Max - Nestle - 42g,chocolates,5.6 g,49.8 g,30.7 g,22.6 g,0 g,0.198 g,Nutri-Score E,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Galaxy milk chocolate 20g,chocolates,-2%,-7%,+1%,+9%,,-100%,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
1 pound,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Soya Chocolate Flavor Drink - Hershey's Sofit - 1L,chocolates,3.2 g,12.3 g,10.2 g,0.18 g,1.2 g,0.292 g,Nutri-Score C,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Hide & Seek Milano Chocolate Chip - Parle - 75g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Parle Bode&seek 120g(26) - 250g,chocolates,5.8 g,73.6 g,32 g,9.2 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
7 Grain Breakfast Cookie Choco Almond - Max Protein - 60 g,chocolates,20 g,36.8 g,0 g,0 g,13.3 g,0.733 g,Nutri-Score C,"Allergens: Gluten, Milk, Nuts, Soybeans, Cereals"
Endura Mass Chocolate Flavour,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans, Cereals"
MuscleBlaze Protein Peanut Butter Creamy Dark Chocolate - 750g,chocolates,27 g,30 g,20.3 g,0.009 g,9.71 g,0.325 g,Average impact of products of the same category: C (Score: 55/100),"Allergens: Gluten, Milk, Nuts, Soybeans, Cereals"
Junior Horlicks Chocolate flavour,chocolates,12 g,74 g,10 g,3.2 g,-,1 g,Nutri-Score E,"Allergens: Gluten, Milk"
Brittania Maska chaska - Britannia,chocolates,7 g,60 g,10 g,13 g,0 g,0 g,Average impact of products of the same category: C (Score: 87/100),"Allergens: Gluten, Milk"
Cadbury Temptations Rum & Raisin Chocolate Bar - 72 g,chocolates,5.7 g,61.8 g,53.2 g,17 g,?,0.168 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Sulphur dioxide and sulphites"
Oreo Original,chocolates,5.2 g,71.9 g,38.8 g,9.7 g,?,1.05 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Sulphur dioxide and sulphites"
Oreo Original,chocolates,5.2 g,71.9 g,38.8 g,9.7 g,?,1.05 g,Average impact of products of the same category: C (Score: 57/100),Not available
Sofit Soya Chocolate Flavor Drink - Hershey's,chocolates,3.22 g,12.2 g,10 g,0.167 g,1.22 g,0.292 g,Average impact of products of the same category: A (Score: 89/100),Not available
Dark Chocolate Peanut Butter - Crunchy - The Whole Truth,chocolates,17.7 g,42 g,0 g,0 g,10 g,0.26 g,Not available,Not available
Dairy Milk Chocolate - Cadbury,chocolates,7.8 g,60.4 g,Not available,29.2 g,?,?,Not available,Not available
8901652140231,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),Not available
Britannia NutriChoice oats chocolate & almond - 75g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Horlicks Chocolate,chocolates,10 g,78 g,14 g,1.4 g,2.2 g,0.875 g,Not available,Not available
Parle Bode&seek 120g(26) - 250g,chocolates,5.8 g,73.6 g,32 g,9.2 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),Not available
Hershy's Kisses cookies 'n' creme - Hershey's,chocolates,6.6 g,60 g,54.4 g,17.5 g,0 g,0 g,Nutri-Score E,"Allergens: Gluten, Milk"
CHOCOLATE PEANUT BUTTER - MYFITNESS - 510,chocolates,23 g,24 g,11 g,0 g,9 g,0.34 g,Nutri-Score D,Allergens: Peanuts
Hide & Seek Milano Chocolate Chip - Parle - 75g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Allergens: Peanuts
Munch Max - Nestle - 42g,chocolates,5.6 g,49.8 g,30.7 g,22.6 g,0 g,0.198 g,Nutri-Score E,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Chocolate Whey Protien with Almonds Muesli - Baggry's,chocolates,+85%,-7%,+32%,-48%,,,Average impact of products of the same category: A (Score: 82/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Galaxy milk chocolate 20g,chocolates,-2%,-7%,+1%,+9%,,-100%,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Chocobakes - Cadbury - 75 g,chocolates,5.1 g,66.2 g,39.7 g,0.1 g,?,0.488 g,Green-Score B,"Allergens: Gluten, Milk"
