name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Mios Chips de maíz y chia con sal marina - Risi - 150 g,chips,7.4 g,64.4 g,1.3 g,2.4 g,6 g,0.9 g,Green-Score A,Allergens: Gluten
Lorenz Naturals rosmarin - 95g,chips,6 g,52 g,2.4 g,2.4 g,4.5 g,1.87 g,Green-Score A,Allergens: Milk
Croustilles emmental - Belin - 210g,chips,7.3 g,54 g,5.9 g,0.015 g,1.9 g,1.5 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Smokehouse BBQ - Eatz - 120g,chips,10.7 g,59.3 g,3.67 g,1.33 g,12.3 g,?,Ultra-processed foods,Allergens: Soybeans
Kettle Cooked Potato Chips - Cape Cod - 30 oz,chips,7.14 g,64.3 g,?,5.36 g,7.14 g,1.11 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Soybeans
Ready Salted Flavour Crisps - Asda - 6 x 25 g,chips,+14%,-1%,-62%,-1%,-41%,-15%,Average impact of products of the same category: A (Score: 88/100),Allergens: Rapeseed-oil
Mediterraneas - Lay's - 150 g,chips,-14%,+12%,-52%,-25%,-50%,+74%,Average impact of products of the same category: A (Score: 88/100),Allergens: Rapeseed-oil
Flame Medium Kickin' Sour Cream - Pringles - 160g,chips,5.4 g,57 g,2.8 g,6.3 g,2.9 g,1.6 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
Tesco Ready Salted Potato Chips - 150g,chips,5.3 g,56.3 g,0.5 g,2.9 g,3.5 g,0.9 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Pop chips sea salt,chips,3 g,69 g,2.2 g,1.4 g,4.6 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Cheese & Onion - Pringles,chips,6.1 g,56 g,2.9 g,6.3 g,3.5 g,0.275 g,Green-Score A,"Allergens: Gluten, Milk"
Kichererbsenchips - Dm - 75g,chips,9.7 g,55 g,1.4 g,1.9 g,6.4 g,1.5 g,Processed foods,"Allergens: Gluten, Milk"
Frites côté burger - MC CAIN - 650 g,chips,2.5 g,25 g,0.5 g,0.4 g,2 g,0.4 g,Green-Score A,"Allergens: Gluten, Milk"
Lay's Paysanne saveur fromage frais ail de Garonne et fines herbes - 120 g,chips,6.5 g,55 g,3.5 g,3.2 g,3.8 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Crousti' Express L'Allumette - Findus - 100 g,chips,3.5 g,34 g,0.5 g,1.4 g,3.6 g,0.1 g,Green-Score A,Not available
Crunchips Salted - Lorenz - 150g,chips,-10%,-8%,-75%,-30%,+6%,+4%,Green-Score A,Not available
Prawn Cocktail Flavour - Pringles - 185 g,chips,5.9 g,56 g,3.3 g,6.3 g,3.4 g,1.5 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
popchips Red Paprika Style - Funny frisch - 80g,chips,-11%,+38%,-4%,-70%,+41%,-30%,Green-Score A,"Allergens: Gluten, Milk"
Chips à l'ancienne - Bouton d'or - 150 g,chips,5.5 g,48 g,< 0.5 g,3 g,5 g,1.3 g,Green-Score A+,"Allergens: Gluten, Milk"
Lightly sera salted hand cooked crisps - Marks & Spencer,chips,7 g,50.3 g,0.5 g,2.5 g,5 g,0.981 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Kartoffelchip geriffelt Salz - Snack Day - 200g,chips,6.5 g,51 g,0.5 g,2.7 g,4 g,1.4 g,Green-Score A,"Allergens: Gluten, Milk"
Tortilla chips goût salé - U - 150 g,chips,6.6 g,64 g,0.8 g,2 g,4 g,0.9 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
Chips saveur Petits oignons - Brets - 125 g,chips,6.3 g,52 g,0.8 g,2.6 g,4.8 g,1.4 g,Green-Score A,Allergens: Gluten
Fromage Frais & fines herbes - Brets - 125 g,chips,6.3 g,52 g,3.9 g,2.6 g,4.8 g,1.4 g,Green-Score A,Allergens: Milk
Chips - Chio - 175g,chips,5.8 g,49 g,2.5 g,3 g,?,1.8 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Tortillas Wild Paprika - Chio - 125 g,chips,5.6 g,66 g,3.8 g,2 g,4.3 g,1.5 g,Green-Score A,Allergens: Milk
Lorenz Crunchips Paprika - 12,chips,5.7 g,52 g,14 g,2.5 g,?,1.7 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Baked Cheese & Onion Snacks - Walkers - 37.5 g,chips,6.1 g,72 g,7.3 g,1.4 g,6.2 g,0.89 g,Green-Score A,Allergens: Milk
Handcooked Sea Salt potato crisps - Real Crisps - 35 g,chips,5.6 g,53.3 g,0.4 g,3.7 g,4.5 g,1.27 g,Processed foods,Allergens: Milk
Tortilla chips Sea salt - Acapulco - 200g,chips,6.7 g,63 g,0.8 g,2.2 g,?,0.8 g,Green-Score A+,Allergens: Milk
Dippas Original - Doritos - 200 g,chips,7 g,59.9 g,1.1 g,3 g,4.4 g,0.72 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Pringles Sour Cream & Onion - Pringlesพริงเกิลส์ - 107 g,chips,5.6 g,61.7 g,2.3 g,0.1 g,3 g,2.256 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans"
American Style Cream & Onion 10rs - Lay's - 24g,chips,6.7 g,53 g,3.4 g,0.1 g,?,1.608 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
Tacos - 20g,chips,5.8 g,61.5 g,10 g,2 g,1 g,?,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
Crispy Skin on Fries - McCain - 800g,chips,3.3 g,33 g,0.5 g,0.4 g,2.8 g,?,Ultra-processed foods,"Allergens: Milk, Soybeans"
Lightly salted tortilla chips - Asda,chips,6.3 g,63 g,1.7 g,2.3 g,4 g,0.84 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
Super chips deep american BBQ flavour - Lay's,chips,6.8 g,50 g,3.2 g,3.9 g,4.7 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Paprika chili - CHIPSY D’OR - 13 g,chips,+12%,-,-27%,+233%,+31%,-72%,Nutri-Score D,"Allergens: Gluten, Soybeans"
French fries - Walkers - 18 g,chips,5 g,66.111 g,1.111 g,1.667 g,?,2.278 g,Nutri-Score D,"Allergens: Gluten, Soybeans"
Patatas Paja - Hacendado - 200 g,chips,6.9 g,51 g,0 g,2.9 g,?,1.1 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans"
Aros - Hacendado - 120 g,chips,4.9 g,67.2 g,1.6 g,1.9 g,3.9 g,1.65 g,Processed foods,"Allergens: Gluten, Soybeans"
Chips saveur poulet rôti - Vico - 125g,chips,6.2 g,48 g,1.7 g,2.8 g,4.5 g,1.3 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans"
Ready salted crisps - Snackrite - 6 x 25 g,chips,6.8 g,49 g,0.6 g,2.5 g,?,1.4 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans"
Monster Munch crazy - Intersnack - 150g,chips,-14%,+11%,+28%,-24%,+28%,-12%,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Just Au Four Express - MC CAIN - 600,chips,2.4 g,24.8 g,0.4 g,0.64 g,2.4 g,0.314 g,Green-Score A+,Allergens: Milk
MC CAIN - 810 g,chips,2.5 g,25.5 g,0.5 g,0.4 g,2.5 g,0.4 g,Green-Score A,Allergens: Milk
Chips saveur paprika fumé - Vico - 125 g,chips,5.9 g,46 g,2.5 g,2.8 g,4.6 g,1.3 g,Green-Score A,Allergens: Milk
Lay's gesalzen - 175g,chips,6.4 g,54 g,0.3 g,3.4 g,4 g,1.3 g,Average impact of products of the same category: A (Score: 88/100),Not available
Kartoffelchips Meersalz - Alnatura - 125 g,chips,4.9 g,48 g,0.7 g,3.1 g,?,1 g,Green-Score A+,Not available
Hummus Chips Chilli & Lemon Flavour - Eat Real - 135 g,chips,9.9 g,67.5 g,0.8 g,1.3 g,4 g,1.93 g,Nutri-Score D,Not available
Straight Up Coconut Chips - Urban Fruit,chips,5 g,14.8 g,14.28 g,36 g,25 g,1 g,Nutri-Score D,Not available
Sour Cream & Onion Potato Chips - 23g,chips,6.4 g,69 g,4.4 g,1.7 g,4.8 g,1.1 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Irish Oaty Flapjacks Choc Chip - Flahavan's - 240 g,chips,5.8 g,51 g,22 g,12 g,5 g,0.6 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Viva Chips Chicken style 100g,chips,5 g,60 g,3 g,16 g,?,2.6 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Choco bom choco blanco - Gullón - 100 g,chips,6 g,63 g,33 g,11 g,?,0.48 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans"
Smilitos - Smileat - 38 g,chips,5.1 g,79 g,1 g,1.5 g,4 g,0.035 g,Nutri-Score C,"Allergens: Gluten, Milk, Soybeans"
Papas 0% sal añadida - Hacendado - 130 g,chips,5.2 g,50 g,0.5 g,3.5 g,3.6 g,0.06 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Sea salt - BioSaurus - 50g,chips,6.5 g,58.4 g,1.9 g,1.5 g,3 g,0.84 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Lay's - 40g,chips,6.1 g,53 g,0.5 g,3.2 g,4.3 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Instant frites pour le micro-ondes - MC CAIN - 2 * 140 g,chips,3.5 g,33.5 g,0.5 g,1 g,3 g,0.5 g,Green-Score A+,"Allergens: Gluten, Milk, Soybeans"
chips soufflées pois chiches et lentilles - Bjorg - 80g,chips,9.7 g,72 g,1.9 g,1 g,4.9 g,1.03 g,Processed foods,"Allergens: Gluten, Milk, Soybeans"
Thin And Crispy Sea Salt Tortilla Chips - Que Pasa Organic • Biologiques - 350 g,chips,8 g,64 g,2 g,0 g,6 g,0.4 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Brown Rice Chips Barbecue - Rice Up,chips,Not available,Not available,Not available,Not available,Not available,Not available,Nutri-Score C,"Allergens: Gluten, Milk, Soybeans"
La Chips Française finement salée - 150g,chips,7.3 g,55 g,0.1 g,2.1 g,8 g,0.63 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Nacho Chips - Santa Maria - 185g,chips,6.3 g,65 g,1.1 g,1.8 g,4.5 g,0.885 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Ready Salted Crisps - Marks & Spencer - 6 x 25 g,chips,8 g,59.2 g,0.4 g,2 g,5.2 g,1 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Doritos Chilli heatwave - 30 g,chips,6.1 g,60 g,5.7 g,2.1 g,5.6 g,1.4 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans"
Takis Queso Volcano 90g,chips,6.3 g,60 g,3.9 g,8.6 g,6.1 g,1.9 g,Nutri-Score E,Allergens: Milk
Kettle Popped-Corn Snacks Sweet & Salty - BFY Brands - 1 oz (28.3g),chips,7.07 g,77.7 g,10.6 g,?,?,0.972 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
McCoys Salt & Malt Vinegar 6pk - McCoy's,chips,6.5 g,54 g,1.9 g,2.5 g,3.9 g,2.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Tortilla Chips Tangy Cheese - Snaktastic - 200 g,chips,7.2 g,66 g,2 g,2 g,5.2 g,0.98 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Cinnamon chips - Harvest Morn,chips,6.4 g,74 g,23 g,5.1 g,4.7 g,0.23 g,Average impact of products of the same category: C (Score: 45/100),Allergens: Gluten
Sea Salt Popped-Corn Snacks - BFY Brands - 1 oz (28.3g),chips,7.07 g,81.3 g,0 g,0 g,3.53 g,1.68 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Himalayan salt potato crisps,chips,5.45 g,46.7 g,0.2 g,6.74 g,?,3.1 g,Nutri-Score E,Allergens: Gluten
McCain Home Chips,chips,2.3 g,21 g,0.5 g,0.6 g,1.8 g,0.188 g,Green-Score A,Allergens: Gluten
Super Chips Deep Sweet Chili Flavour - LAY'S - 130g,chips,6.8 g,50 g,3 g,3.9 g,4.7 g,0.7 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Wotsits Giants Flamin Hot - Walkers - 130g,chips,5.667 g,56.667 g,3.667 g,2.667 g,?,1.733 g,Nutri-Score D,"Allergens: Gluten, Milk, Soybeans"
Honey Mustard Potato Crisps imp - Rubio - 125 g,chips,7 g,54 g,2.8 g,2.6 g,?,0.9 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Mustard
Chips saveur poulet rôti - Lay's - 135 g,chips,6.3 g,53 g,1.3 g,3.4 g,4.4 g,1.4 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Mustard
Chips,chips,9 g,6.8 g,5.8 g,11 g,?,1.8 g,Not available,Allergens: Mustard
Kettle cooked potato chips chipotle bbq - Siete,chips,7.14 g,60.7 g,3.57 g,3.57 g,3.57 g,1.07 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Mustard
Chickpea Puff Snacks HIPPEAS,chips,16.4 g,55 g,4.55 g,1.82 g,5.91 g,?,Not available,Allergens: Mustard
Tuile nature - Carrefour BIO,chips,5.2 g,59 g,1.8 g,2.8 g,4.8 g,1.1 g,Green-Score A,Allergens: Mustard
Made Good Granola Minis Chocolate Chip - 4.25 oz (120 g),chips,8.33 g,66.7 g,25 g,0 g,8.33 g,0.052 g,Green-Score D,Allergens: Mustard
Cafe Style Tortilla Chips - On The Border - 11 oz,chips,7.143 g,60.714 g,0 g,7.143 g,?,1.027 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Soybeans
Waves multi grain waves sweet chilli - Aldi - 150 g,chips,8.1 g,61 g,9.5 g,2 g,4.8 g,1.9 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Chips paysanne nature - Carrefour - 270 g,chips,5.4 g,51 g,0 g,2.8 g,4.8 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Lightly Salted - Two Farmers - 40 g,chips,7.9 g,55 g,0.3 g,2.7 g,4.9 g,1.2 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Les frites bistro - Auchan - 0.6 kg,chips,3.1 g,24 g,1.9 g,0.9 g,3.2 g,0.01 g,Green-Score A,Allergens: Gluten
Lay's Recette à l'ancienne nature 295 g + 10% offert - 324 g,chips,6.2 g,54 g,0.5 g,3.7 g,3.9 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Lay's Recette à l'ancienne nature maxi format - 365 g,chips,6.2 g,54 g,0.5 g,3.7 g,3.9 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Walkers Monster Munch Picked Onion 6pk,chips,-3%,+7%,+28%,-42%,-60%,+15%,Nutri-Score D,"Allergens: Milk, Soybeans"
Kräuterbutterchips - Lay's - 150 g,chips,6.6 g,53 g,1.4 g,2.3 g,4.5 g,1.082 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Cheddar and Onion Crisps - McCoy’s - 45 g,chips,7.4 g,53 g,2.4 g,2.5 g,4.4 g,0.97 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Pays paysanne - Lays - 168 g,chips,6.2 g,54 g,0.5 g,3.2 g,3.9 g,1.3 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Tortilla - Boni - 200g,chips,6.6 g,64 g,1 g,2 g,4 g,0.885 g,Green-Score A,Allergens: Soybeans
Cheddar and Red Onion crisps - Lidl - 6x25g,chips,5.8 g,56.9 g,3 g,2.2 g,3.4 g,1.29 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Soybeans
Chips à l'ancienne nature - Snack Day - 150 g,chips,5.9 g,47 g,0.5 g,3 g,?,1.1 g,Average impact of products of the same category: A (Score: 88/100),Not available
Chakalaka - Funny-Frisch - 1pcs,chips,-3%,-3%,+88%,-1%,-4%,+9%,Green-Score A,Not available
Saveur Herbes de Provence - Vico,chips,6.4 g,47 g,2.8 g,3 g,4.5 g,1.3 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Rolls - Fine chips de pain grillé goût bacon - BELIN,chips,14 g,62 g,4 g,1.6 g,3 g,1.5 g,Green-Score B,"Allergens: Gluten, Milk"
Rikisitos - Munchos,chips,5.3 g,56 g,3.3 g,4.2 g,1 g,0.004 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Tedhe Medhe - Bingo,chips,-18%,-7%,-3%,+373%,,"+153,733%",Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
"Chips Nature, 350g - U - 350 g",chips,5.9 g,50 g,0.5 g,2.8 g,5.2 g,1.1 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Pringles originale - 175g,chips,1.8 g,17 g,0.4 g,2 g,1.1 g,0.33 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Gluten
Takis - 3.25oz,chips,7.14 g,57.1 g,0 g,0 g,3.57 g,3.75 g,Nutri-Score E,"Allergens: Eggs, Gluten, Peanuts, Soybeans"
Chips de pomme de terre sans sel ajouté - Croustisud - 100 g,chips,7.2 g,68 g,0.8 g,1.6 g,5.8 g,0.03 g,Green-Score A,"Allergens: Eggs, Gluten, Peanuts, Soybeans"
Tiger Krunch ChocoChips - Britannia - 63 g,chips,,,,,,,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Taylors Potato Crisps - Pickled Onion Flavour - 150g,chips,6.7 g,56 g,2.3 g,2.1 g,5.1 g,1.2 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Chips de sarrasin bretonnes - Nos Régions ont du Talent - 100 g,chips,11 g,53 g,0.7 g,2.2 g,6.2 g,1.2 g,Processed foods,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Redes BBQ - Hacendado - 100g,chips,4.4 g,63 g,8.4 g,2.8 g,6.3 g,1.84 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Dried Jackfruit Chips - Gėrybių Ragas - 250 grams,chips,7.14 g,79 g,58.6 g,0.05 g,?,0 g,Unprocessed or minimally processed foods,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Pineapple & Habanero Chilli - Manomasa - 140g,chips,6.9 g,59.4 g,2.5 g,1.9 g,9.4 g,0.7 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Chips Saveur Barbecue - LAY'S,chips,+1%,-4%,+15%,-14%,+3%,-19%,Nutri-Score D,Allergens: Soybeans
Chocolate Chip Cookie Dough - Halo Top - 263,chips,4.18 g,22.4 g,16 g,2.78 g,?,0.247 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Eggs, Gluten, Milk"
la paysanne chips - Brets - 250g,chips,-1%,-7%,-79%,-28%,+12%,-19%,Processed foods,"Allergens: Eggs, Gluten, Milk"
sweet Chilli crisps - Marks And Spencer - 150 g,chips,6.1 g,52.8 g,2.2 g,3.5 g,?,1.3 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Eggs, Gluten, Milk"
Baked Crunchy Crispy Reds Apple Chips - Bare,chips,0 g,96.4 g,0 g,0 g,14.3 g,0 g,Unprocessed or minimally processed foods,Allergens: Apple
Chips Harvest Cheddar - Sun chip - 42.5 g,chips,7.06 g,65.9 g,7.06 g,2.35 g,9.41 g,1.53 g,Nutri-Score D,"Allergens: Gluten, Milk"
Potato chips - Barbecue - Lay's,chips,7.14 g,53.6 g,7.14 g,5.36 g,3.57 g,1.34 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Hand cooked crisps - Marks & Spencer,chips,5 g,57 g,3 g,3 g,4.75 g,1.69 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Cook's Dark Chocolate Chips - Sainsbury's - 100 g,chips,7.5 g,55.5 g,48 g,16.5 g,7.8 g,0.01 g,Green-Score E,Allergens: Soybeans
"Olive Oil Kettle Cooked Potato Chips, Classic Sea Salt - Boulder Canyon",chips,7.14 g,57.1 g,0 g,0 g,7.14 g,1.07 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Soybeans
Sour cream & onion potato chips - Snack Day - 175 g,chips,3.4 g,52 g,3.1 g,3.8 g,?,1.18 g,Nutri-Score D,Allergens: Milk
Crinkle Cut Oven Chips - Harvest basket,chips,2.6 g,30.6 g,0.5 g,0.3 g,?,0.05 g,Nutri-Score B,Allergens: Milk
Lay's Recette à l'ancienne nature - 145 g,chips,6.2 g,54 g,0.5 g,4 g,3.9 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Chips à l'ancienne nature 300g - U - 300 g,chips,5.9 g,47 g,0.5 g,3 g,5.5 g,1.1 g,Green-Score A,Allergens: Milk
Pommes dauphines préfrites surgelées - Picard - 500 g,chips,3.9 g,29 g,4.9 g,2.2 g,2.6 g,0.99 g,Average impact of products of the same category: B (Score: 61/100),"Allergens: Eggs, Gluten"
Tortillas Chips - Eco+ - 300 g,chips,6.6 g,64 g,0.8 g,2 g,4 g,0.9 g,Green-Score A,"Allergens: Eggs, Gluten"
Patatas prefritas con piel - Carrefour - 600 g,chips,1.6 g,21 g,0.5 g,0.4 g,3 g,0.35 g,Green-Score A,Allergens: None
Chipsfrisch Sour Cream & Wild Onion - funny-frisch - 175g,chips,6.2 g,49 g,2.9 g,2.5 g,?,1.4 g,Green-Score A,Allergens: Milk
Crunchips Salted - Lorenz - 100g,chips,5.5 g,52 g,0.5 g,2.6 g,3.5 g,1.6 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Naturals - Meersalz und Pfeffer - Lorenz - 95g,chips,5.9 g,52 g,2.1 g,2.4 g,4.5 g,1.8 g,Green-Score A,Allergens: Milk
Cheese & onion crisps - Tesco,chips,5.8 g,52.5 g,2.5 g,2.9 g,?,1.3 g,Green-Score A,Allergens: Milk
Bacon Flavour Fries - The Smiths - 24 g,chips,14 g,50 g,3.6 g,2.5 g,3.6 g,1.9 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Pringles Sourcream&Onion 70g - Kellogg norge a/s,chips,6.3 g,56 g,2.1 g,2.9 g,3.5 g,1.18 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
Free From Chocolate Chip Cookie Dairy Free - Tesco,chips,3.33 g,60 g,29.2 g,10 g,?,0.833 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans"
Hand-Cooked English Crisps Naked (No Salt) - Tyrrells - 150 g,chips,7.1 g,50.8 g,0.7 g,3.1 g,5.2 g,0 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Sea Salt Flavour Potato Snacks - Popchips - 23g,chips,6 g,69 g,2.2 g,1.4 g,4.6 g,1.1 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Crisps Chio Red Paprika Flavor 140G 1 / 16 - 5,chips,7.1 g,48 g,2.3 g,3.3 g,?,0.005 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Chips - Zweifel - 175 g,chips,6 g,48 g,0.8 g,2 g,6 g,1.18 g,Green-Score A,Allergens: Keine-deklarationspflichtigen-allergene-enthalten
Cookies con chips de chocolate - Florbu - 1,chips,6.2 g,67 g,21 g,5 g,?,0.57 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Keine-deklarationspflichtigen-allergene-enthalten
Onduladas - Risi,chips,6 g,53 g,1 g,4.3 g,?,1.2 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Keine-deklarationspflichtigen-allergene-enthalten
Patates Torres Premium Oli Oliva Verge Extra - 150 g,chips,3.9 g,39 g,0.5 g,4.3 g,4.5 g,0.46 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Keine-deklarationspflichtigen-allergene-enthalten
Surf Chips Original - Netto - 160g,chips,-37%,+9%,-44%,+226%,,+13%,Nutri-Score E,Allergens: Soybeans
Chocolate Chip Organic Granola Bars - Made Good• Riverside Natural Foods - 24 barres de 24grammes,chips,8.33 g,70.8 g,25 g,0 g,4.17 g,0.104 g,Processed foods,Allergens: Soybeans
Black Truffle & Olive Oil Crisps - M&S - 30g,chips,4.3 g,54.6 g,1.3 g,2.4 g,8.2 g,1.08 g,Green-Score A,Allergens: Soybeans
Erdnuss Locken - Lorenz - 200 g,chips,14 g,52 g,2.3 g,3 g,4.9 g,2 g,Nutri-Score C,Allergens: Peanuts
Cheetos Crunchy Flamin Hot - 8.5 oz (240.9 g),chips,3.57 g,53.6 g,1 g,5.36 g,1 g,0.625 g,Green-Score A,Allergens: Milk
"Lay’ - Lay's - 125 g,",chips,6 g,71 g,5.6 g,12 g,3.9 g,1.4 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans"
Frites goût nature - Snack Day - 125 g,chips,5.5 g,51 g,0.5 g,2.6 g,?,1.2 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Pommes de terre noisettes 1kg - U - 1 kg,chips,2.8 g,26 g,0.5 g,0.7 g,2.4 g,0.98 g,Average impact of products of the same category: B (Score: 67/100),Allergens: Milk
Doritos goût flame grilled steak - 170 g,chips,6.5 g,61 g,1 g,2.3 g,5.7 g,1.6 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
"Dark Chocolate Chip Peanut Butter with Sea Salt, Organic - Perfect Bar",chips,23.1 g,36.9 g,18.5 g,0 g,6.15 g,0.404 g,Processed foods,"Allergens: Apple, Celery, Eggs, Milk, Orange, Peanuts, Sesame seeds"
Kartoffel-Chips Paprika - Clarkys - 200 g,chips,6 g,50.5 g,1.8 g,15.6 g,4 g,1.4 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Curly fries - Harvest Basket - 400g,chips,2.7 g,24.8 g,23 g,0.7 g,3.3 g,1.79 g,Green-Score A,Allergens: Gluten
Patatas congeladas - Hacendado - 2 kg,chips,2.1 g,20 g,0.5 g,0.5 g,2.7 g,0.05 g,Nutri-Score B,Allergens: Gluten
BelVita Chocolate Chips 30% less - 225 g,chips,8.6 g,66 g,16 g,2 g,7.3 g,0.86 g,Nutri-Score C,"Allergens: Gluten, Soybeans"
sour & cream chive flavour lentil chips - Proper - 20g,chips,9.8 g,63 g,1.5 g,2.9 g,1 g,2.71 g,Nutri-Score E,"Allergens: Gluten, Soybeans"
Frites au four - Bio Village,chips,1.9 g,22 g,0.5 g,0.4 g,2 g,0.02 g,Green-Score A+,"Allergens: Gluten, Soybeans"
Walkers Variety Crisps 12pk,chips,1.62 g,53 g,4.2 g,10 g,5.9 g,1.1 g,Nutri-Score D,"Allergens: Celery, Gluten, Mustard, Soybeans"
